SalePrice,LotArea,YearBuilt,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,avgAreaIncome,zipCode
137000,9142,1910,1928,2,0,4,9,1,62452,50014
140000,11310,1954,1375,1,0,2,5,2,76429,50037
180000,11317,2003,1668,2,1,3,8,2,97203,50045
277000,159000,1958,2144,2,0,4,7,2,106605,50048
76500,5350,1940,1306,1,0,3,6,0,65080,50015
173000,8366,2004,1640,2,1,3,6,2,92322,50041
158000,9350,1964,1302,2,0,3,7,1,76429,50037
145000,8400,1957,1314,1,0,3,5,1,76429,50037
230000,8738,1999,2291,2,1,4,8,2,92380,50040
207500,8791,2003,1728,2,1,3,7,2,104653,50046
231500,12435,2001,1792,2,1,3,7,2,97203,50045
97000,12702,1956,882,1,0,2,4,1,62452,50014
176000,19296,1962,1382,1,0,3,6,2,76429,50037
151000,8471,1977,1212,1,0,3,6,2,62302,50016
130000,5500,1929,1316,1,0,3,6,2,62452,50014
73000,5232,1925,764,1,0,2,4,2,62452,50014
175500,12090,1981,1422,2,0,3,7,2,91626,50043
185000,11207,1997,1511,2,1,3,8,2,92380,50040
179500,8400,1939,2192,2,1,4,8,1,66850,50036
120500,6900,1940,778,1,0,2,4,1,51360,50017
148000,7917,1976,1113,1,1,3,6,1,64108,50036
241500,39104,1954,1363,1,0,2,5,2,106605,50048
290000,11764,1999,2270,2,1,4,9,3,150805,50026
139000,9600,1958,1632,2,0,3,6,1,76429,50037
124500,8314,1982,816,1,0,2,5,1,77061,50039
205000,7264,1925,1548,2,1,3,5,2,65080,50015
201000,9196,2003,1560,2,0,3,7,2,77061,50039
141000,19138,1951,864,1,0,2,4,2,92380,50040
192000,10005,1977,2022,2,1,4,8,2,106605,50048
228500,11287,1989,1982,2,1,3,7,2,92322,50041
207500,5063,2007,1314,2,0,2,6,2,138025,50051
179200,8012,1992,1575,2,0,2,5,2,92322,50041
159000,9786,1962,1734,1,1,3,7,2,76429,50037
88000,8125,1971,858,1,0,3,5,0,76429,50037
122000,9819,1967,900,1,0,3,5,1,62302,50016
153575,8730,1915,1396,1,0,3,7,1,65080,50015
135900,5687,1912,1716,2,0,6,9,0,66850,50036
131000,11409,1949,1716,1,1,3,8,1,64108,50036
235000,16659,1977,2263,2,1,3,9,2,91626,50043
167000,9600,1953,1644,1,0,3,7,2,76429,50037
142500,7937,1984,1003,1,0,3,6,2,77061,50039
152000,13710,1950,1558,1,1,4,6,1,51360,50017
239000,7399,1997,1950,2,1,3,7,2,104653,50046
175000,11700,1968,1743,1,2,3,7,2,91626,50043
157000,15750,1953,1336,1,0,2,5,1,96432,50044
267000,16226,1998,2452,2,1,4,9,2,97203,50045
205000,13704,2001,1541,2,0,3,6,3,97203,50045
295000,18386,1880,3493,3,0,3,10,3,62452,50014
305900,10386,2004,2000,2,0,3,8,3,97203,50045
225000,13474,1990,2243,2,1,4,8,3,92322,50041
89500,7920,1920,1406,1,0,3,6,0,51360,50017
82500,12342,1940,861,1,0,1,4,2,64108,50036
360000,12378,2003,1944,2,0,3,8,3,138025,50051
165600,7685,1993,1501,2,1,3,6,2,92380,50040
132000,8000,1948,972,1,0,2,5,1,76429,50037
119900,7800,1939,1118,1,0,3,5,2,62452,50014
375000,215245,1965,2036,2,0,3,8,2,112753,50047
178000,9600,1925,1641,1,1,3,6,2,62452,50014
188500,7795,2004,1432,2,1,3,6,2,92380,50040
260000,13005,1980,2353,2,1,4,10,2,91626,50043
270000,9000,2006,1959,2,1,3,8,3,104653,50046
260000,9900,1993,2646,2,1,4,9,3,150805,50026
187500,14115,1980,1472,2,0,3,6,2,91626,50043
354000,12099,2004,2468,2,1,4,10,3,138025,50051
301000,10380,1986,2730,2,1,4,8,2,92322,50041
126175,5820,1955,1163,1,0,3,6,1,62452,50014
242000,11275,1967,2978,2,1,5,11,2,76429,50037
87000,5000,1941,803,1,0,2,5,2,51360,50017
324000,10846,1993,1719,1,1,1,6,2,106363,50049
145250,11600,1960,1383,1,1,3,7,1,76429,50037
214500,11888,1916,2134,2,0,5,10,2,65080,50015
78000,6402,1920,1192,1,0,3,6,1,51360,50017
119000,10624,1964,1728,2,0,6,10,1,76429,50037
139000,8176,1958,1056,1,0,3,6,1,76429,50037
284000,10655,2003,1629,2,0,3,7,3,138025,50051
207000,8198,2004,1358,2,0,2,6,2,138025,50051
192000,9042,1998,1638,2,1,3,7,2,92380,50040
228950,164660,1965,1786,2,0,3,7,2,112753,50047
377426,14157,2005,1922,2,0,3,8,3,120437,50050
214000,9135,2002,1536,2,0,3,7,2,97203,50045
202500,14145,1984,1621,2,0,3,8,2,91626,50043
155000,12400,1958,1215,1,0,3,6,1,76429,50037
202900,14191,2002,1908,2,1,4,9,2,112753,50047
82000,8400,1950,841,1,0,2,4,1,92322,50041
87500,8544,1949,1040,2,0,2,6,2,76429,50037
266000,8849,2005,1684,2,0,2,6,2,138025,50051
85000,2592,1976,1112,1,1,3,4,1,53958,50010
140200,6435,1939,1577,1,0,3,6,1,65080,50015
151500,12772,1960,958,1,0,2,5,1,76429,50037
157500,17600,1960,1478,2,0,3,6,2,76429,50037
154000,2448,2003,1626,2,1,2,6,2,138025,50051
95000,9084,1941,1111,1,0,3,5,1,64108,50036
105900,8520,1928,720,1,0,2,5,2,62452,50014
140000,8400,1940,1595,1,0,2,6,1,66850,50036
177500,11249,1995,1200,2,0,3,6,2,97203,50045
173000,9248,1992,1167,2,0,3,6,2,92380,50040
134000,4224,1976,1142,1,1,3,6,2,53958,50010
280000,12011,1998,1924,2,1,3,7,2,150805,50026
156000,7540,1978,912,1,0,2,5,2,77061,50039
145000,9144,1940,1505,1,0,3,8,1,65080,50015
198500,7301,2003,1922,3,0,4,7,2,64108,50036
118000,1680,1972,987,1,1,2,5,1,57629,50011
190000,18800,1976,1574,2,1,3,6,2,91626,50043
147000,10690,1920,1344,1,0,3,6,1,51360,50017
159000,9500,1963,1394,1,1,3,6,2,76429,50037
165000,9150,1962,1431,1,0,3,6,1,76429,50037
132000,7800,1954,1268,1,0,2,7,1,76429,50037
162000,9830,1959,1287,1,0,3,7,2,76429,50037
172400,8121,2000,1664,2,1,3,7,2,92380,50040
134432,17120,1959,1588,2,0,4,7,2,106605,50048
125000,7175,1984,752,1,0,2,4,1,92322,50041
123000,10634,1953,1319,1,0,3,5,1,76429,50037
219500,8200,2003,1928,2,1,4,8,2,97203,50045
61000,10020,1922,904,0,1,1,4,0,64108,50036
148000,8846,1996,914,1,0,2,5,2,97203,50045
340000,11143,2004,2466,3,0,4,8,2,104653,50046
179000,8123,2000,1800,2,1,3,7,2,92380,50040
127000,5000,1924,1691,2,0,3,6,1,66850,50036
213500,9245,2006,1797,2,1,3,8,2,97203,50045
76000,9000,1928,784,1,0,2,5,2,92322,50041
240000,53107,1992,1953,2,1,3,9,2,106605,50048
192000,3182,2004,1269,2,0,2,6,2,92169,50042
191000,9382,1999,1479,2,0,3,6,2,97203,50045
119000,8405,1900,1367,1,0,4,7,1,64108,50036
215000,12209,2001,1961,2,1,3,7,2,77061,50039
106500,8339,1959,882,1,0,3,5,1,76429,50037
109000,10134,1940,1034,1,0,2,5,1,62452,50014
129000,9571,1956,1144,1,0,3,6,1,64108,50036
123000,7200,1972,894,1,0,2,6,2,97203,50045
169500,7590,1962,1812,2,0,4,8,1,76429,50037
241000,8125,2006,1550,2,0,2,7,2,104653,50046
245500,14963,1996,1288,1,1,1,4,2,106363,50049
108000,10200,1940,672,1,0,2,4,1,62302,50016
168000,10364,1995,1572,2,1,3,7,2,92380,50040
150000,9991,1976,1620,2,0,3,8,2,62302,50016
115000,10480,1936,1639,1,0,3,6,1,66850,50036
177000,15576,1915,1680,2,0,4,8,1,96432,50044
145000,34650,1955,1056,1,0,3,5,2,92380,50040
115000,8960,1927,1028,1,0,2,5,2,62452,50014
228000,11228,1993,2097,2,1,3,9,3,92322,50041
149500,7844,1978,1400,1,1,3,6,2,62302,50016
239000,22420,1918,2624,2,1,4,10,3,96432,50044
142000,8450,1968,1056,1,0,3,6,1,76429,50037
215000,16635,1977,1602,2,0,3,8,2,91626,50043
113000,21750,1954,988,1,0,2,4,2,77061,50039
315000,9200,1998,2630,2,1,4,8,3,150805,50026
139000,9000,1956,1196,1,0,2,6,1,76429,50037
135000,3378,1946,1389,1,1,3,6,1,62452,50014
275000,12800,1989,1644,2,0,2,5,2,92322,50041
109008,8593,1957,907,1,0,3,5,1,76429,50037
175000,11457,1988,1412,2,0,3,6,2,112753,50047
122500,1920,1971,1365,1,1,2,6,2,57629,50011
181000,10839,1997,1604,2,1,3,7,2,92380,50040
81000,1890,1972,630,1,0,1,3,0,53958,50010
212000,10667,1996,1661,2,1,3,6,2,97203,50045
116000,4400,1920,1118,1,0,2,6,2,62452,50014
119000,6000,1926,904,1,0,2,4,1,65080,50015
90350,4280,1913,694,1,0,2,4,1,96432,50044
110000,12354,1920,1196,1,0,3,7,2,64108,50036
555000,15431,2008,2402,2,0,2,10,3,138025,50051
118000,12108,1955,1440,2,0,4,8,0,64108,50036
162900,6240,1930,1573,2,0,3,8,2,65080,50015
210000,8750,1994,1908,2,1,4,8,2,97203,50045
127500,9855,1956,1689,1,0,3,7,2,64108,50036
190000,16492,1966,1888,2,1,2,6,2,76429,50037
199900,11214,1998,1886,2,1,4,10,2,92380,50040
119500,8600,1937,1376,2,0,3,7,1,51360,50017
120000,6000,1948,1183,1,1,2,6,1,62452,50014
110000,5684,1930,813,1,0,2,5,1,62452,50014
280000,70761,1975,1533,2,0,2,5,2,106605,50048
204000,9303,1996,1756,2,1,3,7,2,112753,50047
210000,9000,2008,1590,2,1,3,6,2,104653,50046
175500,9600,1973,1242,1,1,3,6,2,91626,50043
256000,53227,1954,1663,1,0,2,6,2,106605,50048
161000,5100,1925,1666,1,0,3,7,1,62452,50014
110000,7015,1950,1203,1,0,3,5,1,65080,50015
155000,7200,1936,1135,1,0,3,6,2,66850,50036
62383,8281,1965,864,1,0,3,5,1,62302,50016
188700,11988,1934,1660,1,1,3,6,1,96432,50044
124000,8430,1978,1040,2,0,3,5,0,97203,50045
178740,3072,2004,1414,2,0,2,6,2,92169,50042
167000,10628,1970,1277,1,0,2,5,2,76429,50037
146500,9480,1942,1644,1,1,3,7,1,76429,50037
250000,11428,2006,1634,2,0,3,7,3,138025,50051
187000,9291,1993,1710,2,1,3,7,2,92322,50041
212000,6820,1985,1502,1,1,1,4,2,120437,50050
190000,11952,1977,1969,2,1,3,8,2,91626,50043
148000,3675,2005,1072,1,0,2,5,2,64108,50036
251000,5330,2000,1652,2,0,2,6,2,120437,50050
132500,8480,1963,970,1,0,2,5,2,62302,50016
208900,13125,1997,1493,2,0,3,7,2,97203,50045
380000,13693,2006,2643,2,1,3,9,3,138025,50051
297000,10637,2007,1718,2,0,3,7,3,97203,50045
326000,16033,2004,1850,2,0,3,8,3,138025,50051
374000,11846,2003,1792,2,0,2,6,3,138025,50051
155000,2500,1915,1826,1,1,4,7,1,62452,50014
164000,4500,1998,1216,2,0,2,5,2,77061,50039
132500,7758,1962,999,1,0,3,6,1,62302,50016
147000,9600,1950,1113,1,0,3,5,1,76429,50037
156000,10289,1965,1073,1,1,3,6,2,76429,50037
175000,12243,1971,1484,2,0,3,7,2,91626,50043
160000,10800,1900,2414,2,0,3,10,2,62452,50014
86000,1526,1970,630,1,0,1,3,1,53958,50010
115000,2665,1976,1304,1,1,3,4,1,53958,50010
133000,9490,1941,1578,1,0,3,5,1,76429,50037
155000,7931,1960,1269,1,1,3,6,1,76429,50037
91300,5784,1938,886,1,0,2,4,1,62452,50014
430000,12692,1992,3228,3,0,4,10,2,150805,50026
184000,9120,1925,1820,2,0,4,8,1,65080,50015
130000,7800,1967,899,1,0,3,5,1,62302,50016
120000,7535,1958,912,1,0,2,5,1,76429,50037
113000,1890,1973,1218,1,1,3,7,1,57629,50011
226700,9803,2005,1768,2,1,3,7,2,104653,50046
140000,9170,1965,1214,1,0,2,6,2,64108,50036
289000,15602,1959,1801,2,0,1,6,2,96432,50044
147000,2308,1974,1322,2,1,3,6,2,69607,50038
124500,7596,1952,1960,2,0,4,10,2,62452,50014
215000,9554,1993,1911,2,1,3,8,2,92322,50041
161000,9600,1928,1378,2,0,3,7,2,62452,50014
124500,9600,1959,1041,1,0,3,6,1,76429,50037
164900,14559,1951,1363,1,0,2,6,1,76429,50037
129900,9100,1958,864,1,0,3,5,2,76429,50037
134000,9187,1983,1080,1,1,3,5,2,77061,50039
96500,10594,1926,789,1,0,2,5,1,96432,50044
265000,10208,1996,2344,2,1,3,7,3,150805,50026
211000,9531,1998,1796,2,1,3,7,2,97203,50045
234000,10918,1926,2080,1,1,3,9,1,96432,50044
106250,10800,1900,1294,2,0,3,7,0,62452,50014
150000,11988,1957,1244,1,1,3,6,1,76429,50037
159000,5000,1947,1664,2,0,3,7,2,65080,50015
315750,11787,1996,2398,2,1,3,8,3,150805,50026
176000,7500,2005,1266,2,0,3,6,2,104653,50046
132000,13300,1956,928,1,0,2,4,1,76429,50037
86000,9098,1920,605,1,0,2,5,0,64108,50036
128000,6155,1920,1362,2,0,3,6,2,65080,50015
107500,7200,1955,827,1,0,2,5,1,76429,50037
39300,5000,1946,334,1,0,1,2,0,65080,50015
178000,9056,2004,1414,2,1,3,6,2,92380,50040
107500,7000,1910,1347,1,0,3,5,0,64108,50036
188000,8924,1998,1724,2,1,3,8,2,97203,50045
111250,12735,1972,864,1,0,3,5,2,76429,50037
158000,11553,1968,1159,1,1,3,7,1,62302,50016
272000,11423,2001,1601,2,0,3,6,2,97203,50045
315000,14601,2006,1838,2,0,2,8,3,112753,50047
248000,11000,2000,2285,2,1,4,8,3,150805,50026
213250,10140,1998,1680,2,0,3,7,2,91626,50043
133000,4058,1998,767,1,0,1,4,1,76429,50037
229000,13837,1988,2183,2,1,4,9,3,91626,50043
210000,8737,1923,1635,1,1,3,6,2,65080,50015
129500,7244,1970,768,1,0,2,5,2,77061,50039
125000,8235,1955,825,1,0,2,4,2,62452,50014
263000,9375,2003,2094,2,1,4,8,2,104653,50046
112500,6000,1957,928,1,0,3,5,1,62452,50014
255500,11146,2006,1717,2,0,3,7,3,138025,50051
108000,8777,1949,1126,2,0,2,5,2,64108,50036
284000,10625,2003,2046,2,1,3,8,3,138025,50051
113000,6380,1922,1048,1,0,2,5,1,65080,50015
141000,14850,1957,1092,1,0,2,6,1,76429,50037
108000,11040,1920,1336,1,1,3,7,1,51360,50017
175000,21872,1996,1446,2,1,3,6,2,92380,50040
234000,3196,2003,1557,2,0,2,7,2,92169,50042
121500,11341,1957,1392,1,1,3,5,2,62302,50016
170000,10010,1974,1389,1,0,2,6,2,77061,50039
108000,13907,1940,996,1,0,3,6,0,64108,50036
185000,21780,1918,1674,2,0,4,8,2,64108,50036
268000,13346,1992,2295,2,1,4,9,2,150805,50026
128000,6858,1915,1647,1,1,4,6,1,66850,50036
325000,11198,2005,2504,2,1,4,11,3,120437,50050
214000,10171,2004,1535,2,0,3,7,2,138025,50051
316600,12327,1983,2132,1,1,1,5,2,92322,50041
135960,7032,1979,943,1,0,2,4,2,76429,50037
142600,13101,1965,1728,2,0,6,10,2,76429,50037
170000,9967,2000,1430,2,1,3,8,2,92380,50040
139000,10500,1971,1109,1,0,3,5,1,76429,50037
145000,6292,1928,1477,2,0,3,6,1,66850,50036
131500,12150,1954,1795,2,0,4,7,1,62452,50014
181900,14585,1960,1429,1,0,3,7,2,76429,50037
118500,11841,1990,816,1,0,3,5,0,64108,50036
325000,13500,1893,2775,3,1,3,9,2,62452,50014
133000,6120,1935,1573,1,0,3,6,1,65080,50015
130000,10267,1918,838,1,0,2,5,1,65080,50015
137000,8740,1982,860,1,0,2,4,2,62302,50016
79500,9100,1930,935,1,0,2,4,1,65080,50015
185900,8320,2004,1582,2,1,3,6,2,97203,50045
451950,13478,2008,2296,2,1,3,10,3,138025,50051
138000,6600,1982,816,1,0,2,4,2,77061,50039
140000,4435,2003,848,1,0,1,4,2,97203,50045
110000,7990,1975,924,1,0,3,5,1,97203,50045
114504,3600,1910,1368,1,0,3,7,1,62452,50014
217500,12984,1977,1647,2,0,3,7,2,96432,50044
151000,1950,1980,1556,2,1,3,6,2,75933,50017
275000,10927,2005,1904,2,1,3,8,2,138025,50051
141000,9000,1937,1375,1,1,3,6,1,51360,50017
151000,3182,2004,1200,2,1,2,4,2,104653,50046
221000,12803,2002,1494,2,0,3,6,2,97203,50045
205000,13600,1965,1986,2,1,3,7,2,76429,50037
152000,12464,1996,1040,1,0,3,6,2,97203,50045
